id_ресторана;название;адрес;телефон;кухня;рейтинг
1;Тануки;г. Москва, ул. Новый Арбат, д.15;+7 (495) 123-45-67;Японская;4.8
2;IL Патио;г. Москва, ул. Тверская, д.10;+7 (495) 234-56-78;Итальянская;4.6
3;Додо Пицца;г. Москва, ул. Пятницкая, д.25;+7 (495) 345-67-89;Пицца;4.5
4;Вкусно — и точка;г. Москва, ул. Большая Дмитровка, д.8;+7 (495) 456-78-90;Фастфуд;4.3
5;Шоколадница;г. Москва, ул. Кузнецкий Мост, д.12;+7 (495) 567-89-01;Европейская;4.4
6;Burger King;г. Москва, ул. Арбат, д.20;+7 (495) 678-90-12;Фастфуд;4.2
7;Сушишоп;г. Москва, ул. Профсоюзная, д.15;+7 (495) 789-01-23;Японская;4.7
8;KFC;г. Москва, ул. Ленинский пр., д.30;+7 (495) 890-12-34;Фастфуд;4.1
9;Кофемания;г. Москва, ул. Покровка, д.18;+7 (495) 901-23-45;Европейская;4.9
10;Прайм;г. Москва, ул. Садовая, д.7;+7 (495) 012-34-56;Русская;4.5
